pattern,mean_latency,p95_latency,throughput,stale_read_rate,freshness_lag,api_calls,recovery_duration
API,124.75256666666667,191,640.0136536246106,0,0,60000,
Projection,70.24256666666666,99,1135.267071578589,0.4115666666666667,2988275.9570833333,0,12125.7
Batch,72.92025,103,1093.693036820999,0,0,0,
Hybrid,82.62706666666666,116,965.4218088786625,0.22731666666666667,1582688.158926089,21000,12125.7
